시군코드,시군명,사업장명,소재지지번주소,소재지도로명주소,인허가일자,영업상태명,소재지우편번호,약국영업면적,인허가구분명,지정일자,WGS84경도,WGS84위도
41570,김포시,신안온누리약국,"경기도 김포시 감정동 690번지 푸른마을상가 128동 116,117,119호","경기도 김포시 감정로38번길 16, 128동 116,117,119호 (감정동, 푸른마을상가)",20090629,운영중,415010,59.6,약국,20090629,126.7006943002325,37.61959966102488
41570,김포시,월곶약국,경기도 김포시 월곶면 군하리 55번지 11호,경기도 김포시 월곶면 애기봉로 11,20090901,운영중,,32.5,약국,20090901,126.55566761436462,37.71624961557995
41570,김포시,사우프라자약국,"경기도 김포시 북변동 826번지 사우테마프라자 102,103호","경기도 김포시 사우중로 83, 102,103호 (북변동, 사우테마프라자)",20091119,운영중,415834,115,약국,20091119,126.72074734697061,37.62210310325136
41450,하남시,신라약국,경기도 하남시 덕풍동 356번지 4호,경기도 하남시 신장로 184 (덕풍동),19850328,운영중,,28.5,약국,19850328,127.20008567048627,37.54182692341246
41450,하남시,시민약국,경기도 하남시 덕풍동 356번지 1호,경기도 하남시 신장로 192 (덕풍동),19881001,운영중,,22.75,약국,19881001,127.19968444466289,37.54242586541046
41450,하남시,오렌지약국,경기도 하남시 신장1동 432번지 5호 1층,"경기도 하남시 신장로 95, 1층 (신장동)",20070509,운영중,465031,55.44,약국,20070509,127.2072051616844,37.5368951933487
41450,하남시,바다약국,경기도 하남시 덕풍동 364번지 13호,경기도 하남시 덕풍공원로 43 (덕풍동),20070830,운영중,,19.45,약국,20070830,127.19788417641936,37.53943037304931
41450,하남시,강남약국,경기도 하남시 신장동 565번지 1층,"경기도 하남시 하남대로 784, 1층 (신장동)",20070831,운영중,465815,55.45,약국,20070831,127.21040075008919,37.54024846606792
41450,하남시,하남태평양약국,경기도 하남시 덕풍동 309번지 63호 2층,"경기도 하남시 하남대로 851, 2층 (덕풍동)",20080227,운영중,465800,117.12,약국,20080227,127.20353333064247,37.54303918089597
41450,하남시,선한약국,경기도 하남시 신장동 427번지 179호 1층,"경기도 하남시 신평로 53, 1층 (신장동)",20080417,운영중,465031,30,약국,20080417,127.20789144310183,37.53956454745474
41450,하남시,하남중앙약국,경기도 하남시 덕풍동 736번지 이마트 2층,"경기도 하남시 덕풍서로 70, 2층 (덕풍동, 이마트)",20080718,운영중,465723,37.13,약국,20080718,127.20536139463033,37.55275237072568
